+/-;Código;Classificação;Tipo;Nome;Apelido;Grupo;Relatório;Filtro;Fórmula;Condição;Plano padrão;Saldo;Código subconta;Grupo subconta;Natureza subconta;Empreendimentos Imobiliários;Unidades imobiliárias;Caixa produtor rural;Banco produtor rural;Conta transitória de produtor rural;Conta participante do Carnê Leão
;841;01.2.3.01.002;;    Móveis e Utensílios;MOVUTENS;Ativo;Balanço Patrimonial;;;;90011;Comum
;850;01.2.3.01.003;;    Ferramentas;FERRAM;Ativo;Balanço Patrimonial;;;;90011;Comum
;868;01.2.3.01.004;;    Imóveis;IMOVEIS;Ativo;Balanço Patrimonial;;;;90011;Comum
;876;01.2.3.01.005;;    Veículos;VEICULOS;Ativo;Balanço Patrimonial;;;;90011;Comum
;884;01.2.3.01.006;;    Computadores e periféricos;COMPUTADORES;Ativo;Balanço Patrimonial;;;;90011;Comum
;892;01.2.3.01.007;;    Direito de uso de linha telefônica;DUFONE;Ativo;Balanço Patrimonial;;;;90011;Comum
;906;01.2.3.01.008;;    Softwares;SOFT;Ativo;Balanço Patrimonial;;;;90011;Comum
;914;01.2.3.01.009;;    Marcas e patentes de invenção;MARCAS;Ativo;Balanço Patrimonial;;;;90011;Comum
;922;01.2.3.01.010;;    Benfeitorias em imóveis de terceiros;BENFEIT;Ativo;Balanço Patrimonial;;;;90011;Comum
;1066;01.2.3.02;T;   BENS EM CONSTRUÇÃO;;Ativo;Balanço Patrimonial;;;;90011;Comum
;100014;01.2.3.02.001;;    Bens em construção;;Ativo;Balanço Patrimonial;;;;90011;Comum
;930;01.2.3.04;T;   PARTICIPAÇÃO EM CONSÓRCIOS;;Ativo;Balanço Patrimonial;;;;90011;Comum
;949;01.2.3.04.001;;    Consórcio;CONSORCIO;Ativo;Balanço Patrimonial;;;;90011;Comum
;957;01.2.3.05;T;   (-) DEPRECIAÇÃO ACUMULADA;;Ativo;Balanço Patrimonial;;;;90011;Comum
;965;01.2.3.05.001;;    (-) Máquinas e equipamentos;DEPRECMAQS;Ativo;Balanço Patrimonial;;;;90011;Comum
;973;01.2.3.05.002;;    (-) Móveis e Utensílios;DEPRECMOVEIS;Ativo;Balanço Patrimonial;;;;90011;Comum
;981;01.2.3.05.003;;    (-) Ferramentas;DEPRECFERRAM;Ativo;Balanço Patrimonial;;;;90011;Comum
;990;01.2.3.05.004;;    (-) Imóveis;DEPRECIMOV;Ativo;Balanço Patrimonial;;;;90011;Comum
;1007;01.2.3.05.005;;    (-) Veículos;DEPRECVEIC;Ativo;Balanço Patrimonial;;;;90011;Comum
;1015;01.2.3.05.006;;    (-) Computadores Periféricos;DEPRECCOMPUT;Ativo;Balanço Patrimonial;;;;90011;Comum
;3930;01.2.4;T;  ATIVO INTANGÍVEL;;Ativo;Balanço Patrimonial;;;;90011;Comum
;3948;01.2.4.01;T;   BENS DE NATUREZA INTANGÍVEL;;Ativo;Balanço Patrimonial;;;;90011;Comum
;3956;01.2.4.01.001;;    Capital Intelectual;CAPINTEL;Ativo;Balanço Patrimonial;;;;90011;Comum
;3964;01.2.4.01.002;;    Marcas e Patentes de Invenção;MARCPAT;Ativo;Balanço Patrimonial;;;;90011;Comum
;3980;01.2.4.01.003;;    Fundo de Comércio;FUNCOM;Ativo;Balanço Patrimonial;;;;90011;Comum
;4022;01.2.4.01.004;;    Concessões;CONCEC;Ativo;Balanço Patrimonial;;;;90011;Comum
;4030;01.2.4.01.005;;    Direitos Autorais;DIRAUT;Ativo;Balanço Patrimonial;;;;90011;Comum
;4049;01.2.4.01.006;;    Softwares ou Programas de Computador;SOFTPROGR;Ativo;Balanço Patrimonial;;;;90011;Comum
;4057;01.2.4.01.007;;    Franquias;FRANQ;Ativo;Balanço Patrimonial;;;;90011;Comum
;1023;01.2.4.02;T;   (-) AMORTIZAÇÃO ACUMULADA;;Ativo;Balanço Patrimonial;;;;90011;Comum
;1031;01.2.4.02.001;;    (-) Capital Intelectual;AMORTMARCAS;Ativo;Balanço Patrimonial;;;;90011;Comum
;1040;01.2.4.02.002;;    (-) Marcas Pat. de Invenção;AMORTIMOV3S;Ativo;Balanço Patrimonial;;;;90011;Comum
;4065;01.2.4.02.003;;    (-) Fundo de Comércio;AMORTFUNDO;Ativo;Balanço Patrimonial;;;;90011;Comum
;4073;01.2.4.02.004;;    (-) Concessões;AMORTCONCEC;Ativo;Balanço Patrimonial;;;;90011;Comum
;4081;01.2.4.02.005;;    (-) Direitos Autorais;AMORTDIRAUT;Ativo;Balanço Patrimonial;;;;90011;Comum
;4090;01.2.4.02.006;;    (-) Softwares;AMORTSOFTWARE;Ativo;Balanço Patrimonial;;;;90011;Comum
;4103;01.2.4.02.007;;    (-) Franquias;AMORTFRANQ;Ativo;Balanço Patrimonial;;;;90011;Comum
;1163;02;T;PASSIVO;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1171;02.1;T; PASSIVO CIRCULANTE;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1180;02.1.1;T;  FORNECEDORES;;Passivo;Balanço Patrimonial;;;;90011;Comum
;100004;02.1.1.01;T;   FORNECEDORES;;Passivo;Balanço Patrimonial;;;;90011;Comum
;100005;02.1.1.01.001;;    Fornecedores;FD;Passivo;Balanço Patrimonial;;;;90011;Comum
;1210;02.1.2;T;  EMPRÉSTIMOS E FINANCIAMENTOS;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1228;02.1.2.01;T;   EMPRÉSTIMOS E FINANCIAMENTOS BANCÁRIOS;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1236;02.1.2.01.001;;    Banco do Brasil S/A;EMPRBB;Passivo;Balanço Patrimonial;;;;90011;Comum
;1244;02.1.2.01.002;;    Caixa Econômica Federal;EMPRCEF;Passivo;Balanço Patrimonial;;;;90011;Comum
;1252;02.1.2.02;T;   EMPRÉSTIMOS DE PESSOAS LIGADAS;;Passivo;Balanço Patrimonial;;;;90011;Comum
;100015;02.1.2.02.001;;    Emprestimo de coligadas;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1260;02.1.3;T;  OBRIGAÇÕES TRABALHISTAS;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1279;02.1.3.01;T;   FOLHA DE PAGAMENTO DE EMPREGADOS;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1287;02.1.3.01.001;;    Salários a pagar;SALPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1295;02.1.3.01.002;;    Férias a pagar;FERIASPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1309;02.1.3.01.003;;    Rescisões a pagar;RESCPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1317;02.1.3.01.004;;    13º salário a pagar;13SALPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1325;02.1.3.01.006;;    Participação lucros e resultados a pagar;PLRPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;100028;02.1.3.01.007;;    Pensão alimentícia;Pensão Alim;Passivo;Balanço Patrimonial;;;;90011;Comum
;1333;02.1.3.02;T;   FOLHA DE PAGAMENTO DE AUTÔNOMOS;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1341;02.1.3.02.001;;    Rendimentos Autônomos a Pagar;RENDPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1350;02.1.3.03;T;   FOLHA DE PAGAMENTO DE DIRIGENTES;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1368;02.1.3.03.001;;    Pro-labore a pagar;PROLPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1376;02.1.3.04;T;   ENCARGOS SOCIAIS A PAGAR;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1384;02.1.3.04.001;;    INSS a pagar;INSSPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1392;02.1.3.04.003;;    FGTS a pagar;FGTSPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1406;02.1.3.04.004;;    Contribuições Sindicais a Pagar;CSPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1414;02.1.3.04.005;;    GRRF a Pagar;GRRFPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;100007;02.1.3.05;T;   PROVISÕES DA FOLHA DE PAGAMENTO;PROV;Passivo;Balanço Patrimonial;;;;90011;Comum
;100008;02.1.3.05.001;;    Provisão de 13º salário;PROV 13;Passivo;Balanço Patrimonial;;;;90011;Comum
;100009;02.1.3.05.002;;    Provisão de férias;PROV FER;Passivo;Balanço Patrimonial;;;;90011;Comum
;1422;02.1.3.05.003;;    Provisão FGTS 13º;PROVFGTS13;Passivo;Balanço Patrimonial;;;;90011;Comum
;1449;02.1.3.05.004;;    Provisão FGTS férias;PROVFGTSFER;Passivo;Balanço Patrimonial;;;;90011;Comum
;1430;02.1.3.05.005;;    Provisão INSS 13º;PROVINSS13;Passivo;Balanço Patrimonial;;;;90011;Comum
;1457;02.1.3.05.006;;    Provisão INSS férias;PROVINSSFER;Passivo;Balanço Patrimonial;;;;90011;Comum
;100031;02.1.3.05.007;;    PIS 13º a pagar;PIS13PGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;100032;02.1.3.05.008;;    PIS férias a pagar;PISFERPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1465;02.1.4;T;  OBRIGAÇÕES TRIBUTÁRIAS;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1473;02.1.4.01;T;   IMPOSTOS RETIDOS A RECOLHER;;Passivo;Balanço Patrimonial;;;;90011;Comum
